Year,PLOT,Loc,No,Line,Purpose,REP,MAT,DAP,LODG,HGT,CM,bua,Yld,Prot,Protein13gkg,protein13,Oil,Oil13gkg,oil13,Cysgkg,Lysgkg,Metgkg,Thrgkg,Trpgkg,Meal,mealprot,protein1000,Cys NIR,Lys NIR,Met NIR,Thr NIR,Trp NIR,Cys,Lys,Met,Thr,Trp
2017,16001,ETREC17,72,56U99-100,"RIL (Prot, Oil, YLD)",1,279,141,4,48,121.9,53.7,3613.1,415.3,361.3,36.1,210.4,183,18.3,6.2,27.4,5.9,15.8,4.2,480.7,48.1,0.4,0.6,2.7,0.6,1.6,0.4,14.9,66,14.2,38,10.1
2017,16002,ETREC17,55,56U99-069,"RIL (Prot, Oil, YLD)",1,278,140,3,40,101.6,65,4372.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,16003,ETREC17,22,56U99-025,"RIL (Prot, Oil, YLD)",1,277,139,2,42,106.7,53.9,3627.1,402.3,350,35,218,189.7,19,6.3,27.2,5.8,15.3,4.2,469.5,46.9,0.4,0.6,2.7,0.6,1.5,0.4,15.7,67.6,14.4,38,10.4
2017,16005,ETREC17,29,56U99-032,"RIL (Prot, Oil, YLD)",1,283,145,3,49,124.5,61.1,4108.5,405.6,352.9,35.3,212.6,185,18.5,6,27.1,5.7,15.2,4.2,470.6,47.1,0.4,0.6,2.7,0.6,1.5,0.4,14.8,66.8,14.1,37.5,10.4
2017,16006,ETREC17,38,56U99-043,"RIL (Prot, Oil, YLD)",1,278,140,2,25,63.5,55.6,3742.3,443.2,385.6,38.6,205.5,178.8,17.9,6.5,29.1,6.1,16.3,4.3,510.4,51,0.4,0.7,2.9,0.6,1.6,0.4,14.7,65.7,13.8,36.8,9.7
2017,16007,ETREC17,112,56U99-183,"RIL (Prot, Oil, YLD)",1,285,147,3,27,68.6,55.3,3717,437.8,380.9,38.1,202.3,176,17.6,6.2,28.7,5.9,16.3,4.3,502.4,50.2,0.4,0.6,2.9,0.6,1.6,0.4,14.2,65.6,13.5,37.2,9.8
2017,16008,ETREC17,92,56U99-139,"RIL (Prot, Oil, YLD)",1,281,143,2,21,53.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,16009,ETREC17,114,56U99-185,"RIL (Prot, Oil, YLD)",1,277,139,2,19,48.3,59.9,4029.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,16010,ETREC17,126,56U99-208,"RIL (Prot, Oil, YLD)",1,277,139,2,20,50.8,55.8,3754.7,429.3,373.5,37.3,200.8,174.7,17.5,6.5,28.1,6,16.3,4.3,491.9,49.2,0.4,0.7,2.8,0.6,1.6,0.4,15.1,65.5,14,38,10
2017,16011,ETREC17,26,56U99-029,"RIL (Prot, Oil, YLD)",1,278,140,2,22,55.9,51.4,3456.9,436.5,379.8,38,198.5,172.7,17.3,6.7,28.8,6.1,16.1,4.3,498.9,49.9,0.4,0.7,2.9,0.6,1.6,0.4,15.3,66,14,36.9,9.9
2017,16012,ETREC17,7,56U99-007,"RIL (Prot, Oil, YLD)",1,278,140,2,22,55.9,56.9,3825.9,436.6,379.8,38,204,177.5,17.7,6.3,28.6,5.9,16.4,4.3,502,50.2,0.4,0.6,2.9,0.6,1.6,0.4,14.4,65.5,13.5,37.6,9.8
2017,16013,ETREC17,11,56U99-013,"RIL (Prot, Oil, YLD)",1,279,141,3,39,99.1,47.1,3169.9,431.5,375.4,37.5,207.8,180.8,18.1,6.5,28.6,6.1,16,4.3,498.1,49.8,0.4,0.7,2.9,0.6,1.6,0.4,15.1,66.3,14.1,37.1,10
2017,16014,ETREC17,100,56U99-159,"RIL (Prot, Oil, YLD)",1,286,148,3,49,124.5,52.2,3513.4,419.6,365.1,36.5,214.4,186.5,18.7,6.4,27.8,6,15.6,4.4,487.8,48.8,0.4,0.6,2.8,0.6,1.6,0.4,15.3,66.3,14.3,37.2,10.5
2017,16015,ETREC17,89,56U99-135,"RIL (Prot, Oil, YLD)",1,268,130,2,21,53.3,53.6,3604,425.7,370.4,37,202.7,176.3,17.6,6.3,28,5.9,15.9,4.3,488.8,48.9,0.4,0.6,2.8,0.6,1.6,0.4,14.8,65.8,13.9,37.4,10.1
2017,16016,ETREC17,102,56U99-164,"RIL (Prot, Oil, YLD)",1,268,130,2,21,53.3,62.6,4210,440.3,383.1,38.3,206,179.2,17.9,6.6,28.9,6.1,16.3,4.2,507.3,50.7,0.4,0.7,2.9,0.6,1.6,0.4,15,65.6,13.9,37,9.5
2017,16017,ETREC17,135,56U99-227,"RIL (Prot, Oil, YLD)",1,272,134,2,21,53.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,16018,ETREC17,80,56U99-115,"RIL (Prot, Oil, YLD)",1,268,130,3,45,114.3,44,2959.6,418.9,364.4,36.4,219.2,190.7,19.1,6.3,27.8,5.9,15.6,4.1,489.5,48.9,0.4,0.6,2.8,0.6,1.6,0.4,15,66.4,14.1,37.2,9.8
2017,16019,ETREC17,87,56U99-131,"RIL (Prot, Oil, YLD)",1,268,130,2,23,58.4,54,3632.9,440.6,383.3,38.3,202.9,176.5,17.7,6.5,29,6,16.3,4.3,506,50.6,0.4,0.7,2.9,0.6,1.6,0.4,14.8,65.8,13.6,37,9.8
2017,16020,ETREC17,28,56U99-031,"RIL (Prot, Oil, YLD)",1,277,139,2,25,63.5,46.3,3110.5,427.7,372.1,37.2,202.7,176.3,17.6,6.4,28.3,5.9,16.1,4.1,491.1,49.1,0.4,0.6,2.8,0.6,1.6,0.4,15,66.2,13.8,37.6,9.6
2017,16021,ETREC17,132,56U99-221,"RIL (Prot, Oil, YLD)",1,278,140,4,39,99.1,52.1,3500.9,411.9,358.4,35.8,210.7,183.3,18.3,6.1,27.4,5.8,15.4,4.1,476.9,47.7,0.4,0.6,2.7,0.6,1.5,0.4,14.8,66.5,14.1,37.4,10
2017,16022,ETREC17,122,56U99-202,"RIL (Prot, Oil, YLD)",1,268,130,4,24,61,58.9,3960.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,16023,ETREC17,107,56U99-175,"RIL (Prot, Oil, YLD)",1,290,152,3,46,116.8,58.1,3907.5,433,376.7,37.7,212.3,184.7,18.5,6.3,28.3,6,15.9,4.4,502.2,50.2,0.4,0.6,2.8,0.6,1.6,0.4,14.5,65.4,13.9,36.7,10.2
2017,16024,ETREC17,18,56U99-020,"RIL (Prot, Oil, YLD)",1,272,134,3,35,88.9,40.3,2709.3,428.7,373,37.3,204.3,177.7,17.8,6.3,28.1,5.9,16,4,493,49.3,0.4,0.6,2.8,0.6,1.6,0.4,14.7,65.5,13.8,37.3,9.3
2017,16025,ETREC17,133,56U99-222,"RIL (Prot, Oil, YLD)",1,279,141,4,28,71.1,70.1,4712.6,428,372.4,37.2,212.4,184.8,18.5,6.5,28.3,6.1,16.2,4.1,496.5,49.6,0.4,0.7,2.8,0.6,1.6,0.4,15.2,66.1,14.3,37.9,9.6
2017,16026,ETREC17,71,56U99-099,"RIL (Prot, Oil, YLD)",1,268,130,5,27,68.6,39.9,2683,451.2,392.5,39.3,202.8,176.4,17.6,6.9,29.5,6.4,16.6,4.4,518.1,51.8,0.5,0.7,3,0.6,1.7,0.4,15.3,65.4,14.2,36.8,9.8
2017,16027,ETREC17,54,56U99-068,"RIL (Prot, Oil, YLD)",1,278,140,3,24,61,51.6,3468.9,441.4,384,38.4,203.5,177,17.7,6.3,28.8,6,16.5,4.4,507.2,50.7,0.4,0.6,2.9,0.6,1.7,0.4,14.3,65.2,13.6,37.4,10
2017,16028,ETREC17,58,56U99-076,"RIL (Prot, Oil, YLD)",1,278,140,3,42,106.7,52,3500,439.2,382.1,38.2,200.6,174.5,17.5,6.8,29,6.2,16.3,4.1,503.1,50.3,0.4,0.7,2.9,0.6,1.6,0.4,15.5,66,14.1,37.1,9.3
2017,16029,ETREC17,144,56U99-244,"RIL (Prot, Oil, YLD)",1,279,141,2,44,111.8,44.6,2998,420.9,366.2,36.6,210.7,183.3,18.3,6.2,27.7,5.8,15.8,4.3,487.4,48.7,0.4,0.6,2.8,0.6,1.6,0.4,14.7,65.8,13.8,37.5,10.2
